lower_h,lower_s,lower_v,upper_h,upper_s,upper_v,avg_iou
7,177,147,31,255,250,0.6566165203185947
7,177,147,31,255,251,0.7435906453080665
7,177,147,31,255,252,0.7606461322592717
7,177,147,31,255,253,0.7840745562197211
7,177,147,31,255,254,0.7949187455108085
7,177,147,31,255,255,0.8488298727467827
7,177,147,31,255,256,0.8488298727467827
7,177,147,31,256,250,0.6566165203185947
7,177,147,31,256,251,0.7435906453080665
7,177,147,31,256,252,0.7606461322592717
7,177,147,31,256,253,0.7840745562197211
7,177,147,31,256,254,0.7949187455108085
7,177,147,31,256,255,0.8488298727467827
7,177,147,31,256,256,0.8488298727467827
7,177,147,32,250,250,0.17633490739476387
7,177,147,32,250,251,0.1899089809975329
7,177,147,32,250,252,0.19458944944949655
7,177,147,32,250,253,0.21086115867485394
7,177,147,32,250,254,0.21364434033295102
7,177,147,32,250,255,0.2522838181791632
7,177,147,32,250,256,0.2522838181791632
7,177,147,32,251,250,0.2384965907087196
7,177,147,32,251,251,0.25248747034979524
7,177,147,32,251,252,0.2639466647539897
7,177,147,32,251,253,0.29148124978364015
7,177,147,32,251,254,0.2967863276034405
7,177,147,32,251,255,0.37388381211346144
7,177,147,32,251,256,0.37388381211346144
7,177,147,32,252,250,0.3207500947167049
7,177,147,32,252,251,0.33880968928400146
7,177,147,32,252,252,0.4038137823076841
7,177,147,32,252,253,0.4248425747520598
7,177,147,32,252,254,0.43990803230655534
7,177,147,32,252,255,0.5488352271071283
7,177,147,32,252,256,0.5488352271071283
7,177,147,32,253,250,0.35614393850541204
7,177,147,32,253,251,0.41325958032197657
7,177,147,32,253,252,0.4391263419616364
7,177,147,32,253,253,0.4695149827626336
7,177,147,32,253,254,0.48196626314201174
7,177,147,32,253,255,0.6197639428328572
7,177,147,32,253,256,0.6197639428328572
7,177,147,32,254,250,0.43572737546870244
7,177,147,32,254,251,0.47637665578048527
7,177,147,32,254,252,0.49047996851548287
7,177,147,32,254,253,0.5312553910337047
7,177,147,32,254,254,0.5788948576096308
7,177,147,32,254,255,0.6725101852445128
7,177,147,32,254,256,0.6725101852445128
7,177,147,32,255,250,0.6566165203185947
7,177,147,32,255,251,0.7435906453080665
7,177,147,32,255,252,0.7606461322592717
